name,latitude,longitude
"Cheras , Malaysia",3.107,101.726
"Bukit.Rambai , Malaysia",2.253,102.189
"Kemaman , Malaysia",4.232,103.425
"Batu.Muda , Malaysia",2.702,101.548
"Kluang , Malaysia",2.068,103.336
"Kulim , Malaysia",5.372,100.555
"Pegoh.Ipoh , Malaysia",4.555,101.085
"Kuala.Selangor , Malaysia",3.34,101.25
"Indera.Mahkota.Kuantan , Malaysia",3.821,103.297
"Alor.Gajah , Malaysia",2.382,102.212
"Petaling.Jaya , Malaysia",3.128,101.594
"Kota.Bharu , Malaysia",6.126,102.239
"Kota.Tinggi , Malaysia",1.729,103.899
"Alor.Setar , Malaysia",6.126,100.367
"Pasir.Gudang , Malaysia",1.47,103.903
"Kangar , Malaysia",6.441,100.198
"Pengerang , Malaysia",1.365,104.111
"Port.Dickson , Malaysia",2.523,101.796
"Minden , Malaysia",4.21,101.976
"Banting , Malaysia",2.812,101.503
"Balok.Baru.Kuantan , Malaysia",3.94,103.368
"Besut , Malaysia",5.795,102.564
"Batu.Pahat , Malaysia",1.849,102.929
"Balik.Pulau , Malaysia",5.35,100.235
"Putrajaya , Malaysia",2.926,101.696
"Larkin , Malaysia",1.492,103.735
"Paka , Malaysia",4.627,103.44
"Nilai , Malaysia",2.802,101.799
"Klang , Malaysia",3.045,101.445
"Kuala.Terengganu , Malaysia",5.328,103.141
"Jerantut , Malaysia",3.937,102.362
"Bandaraya.Melaka , Malaysia",2.19,102.25
"Rompin , Malaysia",2.794,103.486
"Tanjung.Malim , Malaysia",3.68,101.52
"Shah.Alam , Malaysia",3.073,101.518
"Segamat , Malaysia",2.503,102.821
"Seri.Manjung , Malaysia",4.196,100.665
"Tanah.Merah , Malaysia",5.809,102.147
"Temerloh , Malaysia",3.449,102.416
"Taiping , Malaysia",4.852,100.742
"Tasek.Ipoh , Malaysia",4.653,101.12
"Seberang.Perai , Malaysia",5.37,100.414
"Sungai.Petani , Malaysia",5.644,100.489
"Seberang.Jaya , Malaysia",5.382,100.399
"Tangkak , Malaysia",2.271,102.542
"Seremban , Malaysia",2.726,101.938
